name,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,total,average
booze,2018,19.95,65.7,87.75,51.85,96.35,163.5,200.95,107.3,56.7,187,65.8,87.75,1190.6,99.22
booze,2019,94.25,,115.5,42.8,183.95,71.55,14.95,35.9,187.95,62.15,,,809,67.42
booze,2020,188.15,14.5,15.95,,129.95,92.85,80.9,231.35,182.95,119,,225.85,1281.45,106.79
booze,2021,186.4,278.65,127.7,183.95,222.05,148.55,67.8,83.85,106.5,155.35,62.75,560,2183.55,181.96
booze,2022,63.15,,155.6,,30.52,67.4,232.15,164.15,161.1,50.6,553.04,104.15,1581.86,131.82
booze,2023,52.4,,394.25,35.9,18,63.8,78.1,210.8,,394.15,390.7,207.25,1845.35,153.78
booze,2024,51.9,,58.15,89.75,86.95,215.85,114.53,,67.15,160.65,,556.35,1401.28,116.77
booze,2025,-26.5,,,16.4,50.35,,57,96,182.75,87.6,211.35,11.45,686.4,57.2
Building,2017,,,,,,,,,,,2500,,2500,208.33
Building,2018,,,60000,,100000,200000,,172338.07,,,,,532338.07,44361.51
Bus,2015,,,,,,,,,,111.87,,,111.87,9.32
Bus,2016,,,,,,,,20.23,,,,,20.23,1.69
Cable TV,2018,,0,,,,,,,,,,,0,0
Camp Grounds,2015,,,,,,,82.49,,523.64,,182.96,,789.09,65.76
Camp Grounds,2016,,384.89,963.78,889.09,,77.98,509.29,,,779.45,685.99,,4290.47,357.54
Camp Grounds,2017,,,,,689.88,1037.52,90.68,,886.79,50,,938.85,3693.72,307.81
Camp Grounds,2018,,,9.65,,,,,,,,,,9.65,0.8
Camp Grounds,2019,,762.29,852.26,,,,109.62,,631.91,,,,2356.08,196.34
Camp Grounds,2020,,,,10,,,184.98,,,,,,194.98,16.25
Camp Grounds,2021,,,,145.83,-145.83,,,,,,,,0,0
Camp Grounds,2022,,,,1127.49,1523.68,841.34,98.37,30,-20.7,,,,3600.18,300.02
Camp Grounds,2023,,139.81,77.28,,,,,20,,,,,237.09,19.76
Cancer,2021,,163.59,,,,,,,,,,,163.59,13.63
Card Sales,2022,50,,,,,,-50,,,,,,0,0
Cash,2015,,,,,,,10,,30,,,,40,3.33
Cash Spent,2015,,55.56,98.7,,65.46,115.53,,,55.69,100,29.56,,520.5,43.38
Cash Spent,2019,,,,,,,,,,205.23,1141.9,,1347.13,112.26
Cash Spent,2020,,,,,,,50,,,,,,50,4.17
Cash Spent,2021,,,,,,,,,50,,,,50,4.17
Cash Spent,2022,,,1218.1,48.69,,,,,,,,,1266.79,105.57
Cash Spent,2023,,,,,,,,2940,122.12,,,,3062.12,255.18
Cash Spent,2025,,,780.2,312.72,,,,,,29.64,,,1122.56,93.55
Charity,2015,,,,,,,,,,10,,,10,0.83
Charity,2016,,,,,,,,,2072.5,,,95,2167.5,180.62
Charity,2017,,,,,,,,,,5,,25,30,2.5
Charity,2018,,,,,,,,,,,44,,44,3.67
Charity,2019,,,,,,,,,,5.35,,70,75.35,6.28
Charity,2020,70,,,,,,,,5.35,,,108.1,183.45,15.29
Charity,2021,,,,,,,,,1.15,20,40,,61.15,5.1
Charity,2022,,,,,,,,,,3.1,50,,53.1,4.42
Charity,2023,,,,49.84,365,,,54.23,,20,,,489.07,40.76
Charity,2024,,,,,75,,,,,,,90,165,13.75
Charity,2025,,,60,,,,,,,10,,,70,5.83
Cleaning,2015,,,,,,,,9.35,,,,,9.35,0.78
Cleaning,2018,,,,,,,,5.84,,,18.63,,24.47,2.04
Cleaning,2019,,,,,,,,,,,18.97,,18.97,1.58
Clothing,2025,,,,,,,25,,,,,,25,2.08
Clothing Brian,2015,,,,,,,,,94.91,,,25.98,120.89,10.07
Clothing Brian,2016,,132.7,84.47,,,,,614.71,,,,,831.88,69.32
Clothing Brian,2018,,,19.33,,,,,,,,,,19.33,1.61
Clothing Brian,2019,180.79,,,,,33.89,,,,,203.81,,418.49,34.87
Clothing Brian,2020,,37.28,,,,,,,30.06,,,,67.34,5.61
Clothing Brian,2021,,,,,,10.26,,30.5,,263.48,,,304.24,25.35
Clothing Brian,2022,,,,,,,,,-3.42,,,,-3.42,-0.28
Clothing Brian,2023,,,,115,,,,,,,,67.79,182.79,15.23
Clothing Brian,2024,22.88,,,50,38.06,,,,,,,,110.94,9.24
Clothing Brian,2025,,,,,24.83,,28.25,,,,,,53.08,4.42
Clothing Sandy,2015,320.77,325.38,,,,31.64,112.99,151.31,,73.06,,,1015.15,84.6
Clothing Sandy,2016,,96.48,24.19,,81.36,418.5,60.17,492.3,,,,,1173,97.75
Clothing Sandy,2017,,339.8,,,,8.4,,73.44,,30,,,451.64,37.64
Clothing Sandy,2018,28.25,,111.56,,65.59,204.13,,,,,,,409.53,34.13
Clothing Sandy,2019,,142.62,,344.28,,,,112.99,,,317.41,152.14,1069.44,89.12
Clothing Sandy,2020,,,149.69,,,,33.88,,,370.82,-152.55,,401.84,33.49
Clothing Sandy,2021,,,,,,,,,-24.84,45.96,111.87,,132.99,11.08
Clothing Sandy,2022,,444.39,,,,,231.65,266.58,,452,62.15,75.54,1532.31,127.69
Clothing Sandy,2023,106.38,51.98,420.64,103.46,,310.79,-28.48,,,670.26,76.84,,1711.87,142.66
Clothing Sandy,2024,278.06,218.59,247.23,131.85,44.78,131.77,576.91,,103.49,481.28,267.79,376.68,2858.43,238.2
Clothing Sandy,2025,,,,509.51,22.99,,271.94,,332.22,194.74,67.8,122.95,1522.15,126.85
Computer,2019,,,,,,,,36.15,,,,45.19,81.34,6.78
Computer,2020,65.98,,,,,,,,,,,,65.98,5.5
Computer,2021,55.99,,,,,,,,,,,,55.99,4.67
Computer,2023,,,,,,,,,993.27,,,,993.27,82.77
Computer,2024,,,,,,,,,,,,411.3,411.3,34.28
Computer,2024,,,,56.93,2928.72,2250.03,317.5,90.39,15.81,,,22.36,5681.74,473.48
Computer,2025,,,66,,,,,,,,,,66,5.5
